"SUID","ArrowShape","Comment","EdgeLabel","Entry1","Entry2","interaction","kegg.type","LineStyle","name","RelationValue1","RelationValue2","selected","shared interaction","shared name","SubType1","SubType2","Type"
"102","Delta","","","29","9",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"103","Delta","","","9","26",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"104","Delta","","","9","10",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"105","Delta","","","9","28",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"106","Delta","","","9","23",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"107","Delta","","","9","25",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"108","Delta","","","9","1",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"109","Delta","","","9","20",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"110","Delta","","","9","27",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"111","Delta","","","27","20",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"112","Delta","","","22","34",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"113","Delta","","","35","34",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"114","Delta","","","32","15",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"115","Delta","","","1","24",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"116","None","","","11","35",,"PPrel","Dash",,"..>","","false",,,"indirect effect","","pp"
"117","Delta","","
+p
","22","11",,"PPrel","Solid",,"-->","+p","false",,,"activation","phosphorylation","pp"
"118","Delta","","
+p
","34","33",,"PPrel","Solid",,"-->","+p","false",,,"activation","phosphorylation","pp"
"119","Delta","","
+p
","33","32",,"PPrel","Solid",,"-->","+p","false",,,"activation","phosphorylation","pp"
"120","Delta","","
+p
","24","17",,"PPrel","Solid",,"-->","+p","false",,,"activation","phosphorylation","pp"
"121","Delta","","
+p
","17","16",,"PPrel","Solid",,"-->","+p","false",,,"activation","phosphorylation","pp"
"122","Delta","","
+p
","19","36",,"PPrel","Solid",,"-->","+p","false",,,"activation","phosphorylation","pp"
"123","T","","
+p
","19","37",,"PPrel","Solid",,"--|","+p","false",,,"inhibition","phosphorylation","pp"
"124","T","","
+p
","19","38",,"PPrel","Solid",,"--|","+p","false",,,"inhibition","phosphorylation","pp"
"125","Delta","","
-p
","18","21",,"PPrel","Solid",,"-->","-p","false",,,"activation","dephosphorylation","pp"
"126","None","","","21","14",,"PPrel","Dash",,"-->","","false",,,"expression","","pp"
"127","Delta","compound processed; ","","10","3",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"128","Delta","compound processed; ","","3","18",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"129","Delta","compound processed; ","","10","5",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"130","Delta","compound processed; ","","5","22",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"131","Delta","compound processed; ","","3","15",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"132","Delta","compound processed; ","","3","36",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"133","Delta","compound processed; ","","20","12",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"134","Delta","compound processed; ","","12","39",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"135","Delta","compound processed; ","","12","19",,"PPrel","Solid",,"-->","","false",,,"activation","","pp"
"136","None","direction reversed; ","","26","10",,"PPrel","Solid",,"","","false",,,"","","pp"
